name,is_private,num_apps,perc_accept,perc_top10,num_fulltime,perc_fulltime,cost_tuition,cost_room_board,perc_terminal,ratio_student_faculty,perc_alumni,cost_expenditure,perc_graduate
Marshall University,1,4226,86,14,7703,76,5094,4010,86,16.6,10,6203,50
Mary Baldwin College,1,499,88,26,846,69,11200,7400,79,6.8,50,10819,90
Mary Washington College,0,4350,50,39,2997,80,6490,4942,80,17.6,30,5358,84
Marymount College Tarrytown,1,478,68,9,731,66,11510,6450,93,10.3,30,10502,77
Marymount Manhattan College,1,695,76,21,988,55,10200,7000,76,11.7,20,10622,68
Marymount University,1,941,82,10,1247,61,11390,5280,82,10.6,17,8575,55
Maryville College,1,1464,60,26,624,82,11200,4208,90,11.1,43,8317,51
Maryville University,1,549,72,26,1343,43,9250,4550,58,13.1,13,5925,61
Marywood College,1,1107,77,13,1452,78,11040,4500,76,11.8,30,9034,66
Massachusetts Institute of Technology,1,6411,33,96,4481,99,20100,5975,99,10.1,35,33541,94
Mayville State University,0,233,100,5,658,91,4486,2516,68,15.7,11,6971,51
McKendree College,1,1002,55,16,836,55,7680,3740,74,17.7,21,6652,52
McMurry University,1,578,71,25,880,64,6930,3452,64,11.0,11,6383,32
McPherson College,1,420,69,11,336,80,7950,3750,54,9.8,45,9754,48
Mercer University,1,2286,72,37,2943,70,11985,4081,95,9.2,15,8995,91
Mercyhurst College,1,1557,68,15,1805,80,9813,4050,63,16.7,29,7307,78
Meredith College,1,857,90,25,1721,78,6720,3250,82,13.9,33,6881,82
Merrimack College,1,1981,77,18,1927,63,12500,6200,75,16.8,22,8707,80
Mesa State College,0,1584,91,6,3471,79,5016,3798,48,28.8,12,3871,59
Messiah College,1,1742,79,30,2258,97,10300,5080,75,14.1,30,7762,89
Miami University at Oxford,0,9239,84,35,13606,94,8856,3960,89,17.6,20,7846,85
Michigan State University,0,18114,83,23,26640,86,10658,3734,95,14.0,9,10520,71
Michigan Technological University,0,2618,87,42,5524,93,8127,3978,82,17.0,25,7473,65
MidAmerica Nazarene College,1,331,100,15,1100,86,6840,3720,33,15.4,20,5524,49
Millersville University of Penn.,0,6011,51,22,5146,77,7844,3830,74,16.8,20,7832,71
Milligan College,1,610,75,26,685,93,8200,3300,69,12.0,16,8128,64
Millikin University,1,1444,87,29,1788,94,11910,4378,77,11.4,25,8149,75
Millsaps College,1,905,92,32,1073,85,11320,4402,89,12.7,38,11218,58
Milwaukee School of Engineering,1,1217,89,36,1773,66,11505,3255,46,16.7,23,7140,67
Mississippi College,1,594,64,36,1695,70,5580,2830,79,16.5,18,6170,61
Mississippi State University,0,4255,77,18,10094,86,9866,3084,77,15.9,20,6223,53
Mississippi University for Women,0,480,84,19,1673,62,4386,2217,54,15.8,8,5704,63
Missouri Southern State College,0,1576,84,13,3689,62,3840,2852,54,20.3,9,4172,100
Missouri Valley College,1,1310,75,5,1057,85,8550,5050,67,17.4,16,4333,27
Monmouth College IL,1,601,83,28,671,98,13000,4100,91,11.6,43,11087,56
Monmouth College,1,2707,69,14,1893,69,12480,5290,85,14.2,15,9492,54
Montana College of Mineral Sci. & Tech.,0,572,95,45,1470,77,6073,3400,71,16.4,31,6112,74
Montana State University,0,3500,81,15,8730,89,5552,3710,83,17.6,8,6324,37
Montclair State University,0,5220,40,19,6411,66,3648,4834,87,21.5,9,6717,58
Montreat-Anderson College,1,263,84,10,316,94,8438,3372,50,11.1,4,11989,15
Moorhead State University,0,2442,88,12,5983,84,4426,2664,81,18.1,19,4795,60
Moravian College,1,1232,77,23,1241,71,14990,4730,92,15.2,28,9566,74
Morehouse College,1,3708,45,41,2852,94,7050,5490,74,17.8,10,8122,83
Morningside College,1,586,90,16,950,80,10520,3678,68,13.0,32,8111,56
Morris College,1,882,82,2,926,98,4515,2550,60,18.6,34,6990,60
Mount Holyoke College,1,1800,73,47,1891,97,19300,5700,91,9.0,51,18359,84
Mount Marty College,1,279,98,17,600,57,6844,2980,55,11.7,38,5073,44
Mount Mary College,1,235,92,12,931,65,8950,3119,51,10.7,26,7016,78
Mount Mercy College,1,368,86,20,806,59,10500,3555,50,11.3,30,6695,64
Mount Saint Clare College,1,325,87,16,364,80,9900,3650,37,13.6,43,6525,21
Mount Saint Mary's College,1,1321,87,15,1243,94,12850,6200,82,12.8,36,8536,80
Mount Saint Mary College,1,1170,59,14,1170,73,7470,4600,75,15.3,23,6898,88
Mount St. Mary's College,1,657,81,37,1039,69,12474,5678,71,11.9,19,10613,72
Mount Union College,1,1310,82,26,1365,90,12250,3530,87,16.7,35,7215,81
Mount Vernon Nazarene College,1,510,95,18,1114,92,7400,3346,57,19.8,7,6869,58
Muhlenberg College,1,2519,72,30,1656,82,16975,4565,86,12.8,39,10888,83
Murray State University,0,2225,85,29,5968,86,4738,3110,76,20.2,27,5972,52
Muskingum College,1,1109,83,24,1115,94,13240,3914,85,13.4,27,9333,73
National-Louis University,1,513,67,23,2508,83,9090,4500,65,18.3,2,7905,71
Nazareth College of Rochester,1,947,84,36,1274,73,10850,5150,93,13.6,24,8797,61
New Jersey Institute of Technology,0,1879,64,27,3311,66,8832,5376,98,13.5,19,12529,72
New Mexico Institute of Mining and Tech.,0,787,76,40,1017,71,5376,3214,100,13.7,11,9241,34
New York University,1,13594,53,70,12408,81,17748,7262,98,7.8,16,21227,71
Newberry College,1,872,82,14,601,94,10194,2600,63,11.4,32,5788,83
Niagara University,1,2220,80,65,1919,85,10320,4762,100,14.2,20,7788,65
North Adams State College,0,1563,64,1,1380,91,5542,4330,71,14.2,17,6562,57
North Carolina A. & T. State University,0,4809,64,12,6162,87,6806,1780,72,16.7,9,7090,44
North Carolina State University at Raleigh,0,10634,66,39,16505,75,8400,6540,98,17.5,21,9670,62
North Carolina Wesleyan College,1,812,84,7,646,88,8242,4230,77,12.7,11,10090,52
North Central College,1,1127,78,30,1310,63,11718,7398,87,16.4,33,8871,76
North Dakota State University,0,2968,77,13,7368,86,5834,2744,83,17.0,24,6310,42
North Park College,1,465,77,19,879,84,12580,4345,79,13.1,24,10889,74
Northeast Missouri State University,0,6040,75,36,5640,95,4856,3416,72,15.7,13,6601,76
Northeastern University,1,11901,71,16,11160,52,13380,7425,82,12.9,17,9563,46
Northern Arizona University,0,5891,83,23,11249,80,6746,3728,83,21.7,7,6157,41
Northern Illinois University,0,10706,67,12,14826,88,7799,3296,78,17.3,11,6086,56
Northwest Missouri State University,0,2729,92,8,4787,91,3735,3136,65,21.7,23,5284,54
Northwest Nazarene College,1,616,83,29,1115,94,9840,2820,59,14.8,20,6261,58
Northwestern College,1,860,94,22,1040,95,9900,3075,68,14.9,34,6357,68
Northwestern University,1,12289,42,85,7450,99,16404,5520,100,6.8,25,26385,92
Norwich University,1,1743,93,8,1862,82,14134,5270,74,13.1,22,9209,63
Notre Dame College,1,379,85,15,500,61,9990,4900,47,12.1,26,4948,33
Oakland University,0,3041,84,16,6441,61,9114,4030,90,19.7,13,6637,53
Oberlin College,1,4778,57,50,2587,95,19670,5820,96,10.1,47,16593,83
Occidental College,1,2324,56,52,1686,97,16560,5140,93,10.5,30,16196,79
Oglethorpe University,1,792,81,56,769,67,12900,4340,95,13.1,27,8568,67
Ohio Northern University,1,2936,79,35,2502,97,15990,4080,78,14.5,31,9979,83
Ohio University,0,11023,75,21,14861,91,7629,4095,87,20.4,13,8811,64
Ohio Wesleyan University,1,2190,77,36,1780,97,16732,5650,93,12.1,32,12011,75
Oklahoma Baptist University,1,758,89,35,1707,70,5390,3140,71,15.1,18,5511,50
Oklahoma Christian University,1,776,98,22,1419,86,6400,3150,64,16.2,8,6578,45
Oklahoma State University,0,4522,86,29,12830,88,5336,3344,92,15.3,14,6433,48
Otterbein College,1,1496,80,26,1648,63,12888,4440,68,13.9,30,8802,87
Ouachita Baptist University,1,910,84,31,1310,95,6530,2800,67,13.3,10,6413,65
Our Lady of the Lake University,1,2308,57,22,1202,56,8530,3644,64,14.9,25,7114,37
Pace University,1,8256,45,37,5809,57,11000,5160,95,13.8,10,10059,62
Pacific Lutheran University,1,1603,86,31,2580,89,13312,4488,78,11.0,23,9431,83
Pacific Union College,1,940,71,20,1316,90,11925,3825,87,12.3,12,9157,69
Pacific University,1,943,90,41,1041,96,14210,3994,76,10.9,22,11216,42
Pembroke State University,0,944,81,14,2174,80,6360,2760,77,15.0,5,6443,48
Pennsylvania State Univ. Main Campus,0,19315,53,48,28938,93,10645,4060,96,18.1,19,8992,63
Pepperdine University,1,3821,53,86,2488,79,18200,6770,98,11.6,13,16185,66
Peru State College,0,701,71,10,959,67,2580,2624,100,20.1,24,4870,44
Pfeiffer College,1,838,77,11,654,80,8640,3700,62,12.2,13,7634,48
Philadelphia Coll. of Textiles and Sci.,1,1538,81,19,1664,61,11690,5062,80,12.9,15,8028,68
Phillips University,1,692,83,19,597,87,10500,3860,64,11.6,19,8990,39
Piedmont College,1,663,84,20,641,91,5640,3620,89,13.2,17,7309,31
Pikeville College,1,404,99,28,797,88,6000,3000,57,13.4,14,5557,61
Pitzer College,1,1133,55,37,750,96,17688,5900,100,10.4,11,14820,73
Point Loma Nazarene College,1,809,84,20,1889,89,10178,4190,71,16.1,19,7895,54
Point Park College,1,875,85,7,1173,45,9700,4830,90,14.5,10,7652,66
Polytechnic University,1,1132,74,58,1379,86,16200,4200,90,10.4,14,14329,62
Prairie View A. and M. University,0,2405,92,10,4564,91,4290,3500,93,19.4,1,5967,35
Presbyterian College,1,1082,76,34,1133,97,11859,3635,85,13.4,42,8354,85
Princeton University,1,13218,15,90,4540,96,19900,5910,96,8.4,54,28320,99
Providence College,1,5139,65,20,3717,73,14400,6200,74,18.4,35,8135,96
Purdue University at West Lafayette,0,21804,85,29,26213,86,9556,3990,86,18.2,15,8604,67
Queens College,1,516,75,32,630,53,11020,4970,75,14.0,36,9315,58
Quincy University,1,1025,68,22,1070,93,10100,4140,71,16.3,32,6880,80
Quinnipiac College,1,3712,58,17,2677,78,12030,6140,73,12.0,33,8847,86
Radford University,0,5702,85,15,8077,94,6684,4110,83,19.6,9,4519,62
Ramapo College of New Jersey,0,2088,45,6,2745,58,4449,4860,95,17.8,8,7333,47
Randolph-Macon College,1,1771,74,21,1071,97,13840,3735,80,10.7,38,11080,74
Randolph-Macon Woman's College,1,696,88,35,653,92,13970,6110,97,9.2,24,16358,68
Reed College,1,1966,73,47,1199,95,19960,5490,90,11.8,37,15886,68
Regis College,1,427,90,18,581,52,12700,5800,85,10.3,37,11758,84
Rensselaer Polytechnic Institute,1,4996,83,53,4291,99,17475,5976,98,15.4,21,15605,70
Rhodes College,1,2302,79,58,1345,95,15200,4768,96,10.8,47,13388,77
Rider University,1,3586,67,16,2748,67,13250,5420,92,12.3,23,11299,70
Ripon College,1,587,85,28,735,96,15200,4100,90,9.4,49,12472,64
Rivier College,1,484,79,6,590,33,9870,4860,59,12.2,19,6744,81
Roanoke College,1,2227,80,27,1460,85,13425,4425,89,13.0,26,9405,72
Rockhurst College,1,935,91,22,1127,59,9490,4100,79,10.7,21,7519,79
Rocky Mountain College,1,560,70,11,743,86,8734,3362,78,11.3,27,6422,68
Roger Williams University,1,3304,84,10,2111,58,12520,6050,54,16.4,8,7957,61
Rollins College,1,1777,64,31,1668,61,16425,5220,85,13.3,23,11561,90
Rosary College,1,434,73,28,624,69,10950,4600,82,12.9,30,9264,81
Rowan College of New Jersey,0,3820,37,21,5303,57,4356,4830,81,22.1,6,7252,51
Rutgers at New Brunswick,0,48094,54,36,21401,85,7410,4748,95,19.5,19,10474,77
Rutgers State University at Camden,0,3366,52,27,2585,66,7411,4748,95,18.6,12,10134,57
Rutgers State University at Newark,0,5785,46,26,4005,67,7410,4748,95,17.4,16,11878,58
Sacred Heart University,1,2307,82,19,1707,47,11070,5780,73,14.8,16,7120,82
Saint Ambrose University,1,897,80,12,1345,77,10450,4020,56,14.1,16,7444,70
Saint Anselm College,1,2095,74,15,1873,95,12950,5400,82,14.5,29,6719,97
Saint Cloud State University,0,3971,83,10,11493,83,4259,2625,75,18.9,10,4629,58
Saint Francis College IN,1,213,77,13,513,67,8670,3820,78,12.5,4,7440,48
Saint Francis College,1,1046,78,21,1223,73,10880,5050,64,19.3,24,7344,69
Saint John's University,1,933,85,18,1691,95,12247,4081,85,12.0,38,9853,70
Saint Joseph's College IN,1,920,74,24,815,78,11200,4250,60,14.8,19,7360,67
Saint Joseph's College,1,833,81,12,716,24,9985,5180,89,27.2,8,4322,85
Saint Joseph's University,1,2519,79,39,2473,65,12750,6350,90,17.4,13,8243,83
Saint Joseph College,1,292,82,20,543,43,12200,4600,90,11.2,32,8680,76
Saint Louis University,1,3294,86,44,4576,80,11690,4730,94,4.6,19,18367,67
Saint Mary's College,1,888,82,26,1433,98,12730,4514,95,9.9,31,11165,98
Saint Mary's College of Minnesota,1,876,91,14,1263,91,10800,3600,74,18.8,19,5081,78
Saint Mary-of-the-Woods College,1,150,86,23,341,30,10300,4130,58,10.2,37,9678,75
Saint Michael's College,1,1910,72,16,1715,94,13030,5860,88,14.5,34,10190,84
Saint Olaf College,1,2248,74,38,2888,96,14350,3750,88,10.0,31,12502,83
Saint Peter's College,1,1606,87,23,1921,62,9408,5520,78,12.1,22,7669,53
Saint Vincent College,1,700,85,19,1035,85,10850,3936,64,12.3,31,8534,88
Saint Xavier University,1,785,82,15,1670,69,10860,4624,100,13.7,15,8953,55
Salem-Teikyo University,1,489,78,23,700,93,10575,3952,24,13.0,9,8946,98
Salem College,1,335,84,28,534,71,10475,6300,68,11.2,46,9599,60
Salisbury State University,0,4216,54,20,4296,80,5130,4690,75,17.9,18,5125,56
Samford University,1,1680,83,34,2959,88,8236,3700,75,14.7,17,9533,61
San Diego State University,0,9402,74,20,16407,74,8384,5110,93,19.5,7,7930,41
Santa Clara University,1,4019,69,40,3891,96,13584,5928,92,13.9,19,10872,100
Sarah Lawrence College,1,1380,55,57,1000,90,19300,6694,93,6.1,18,14779,83
Savannah Coll. of Art and Design,1,1109,62,20,1897,90,8325,5000,98,16.1,26,6874,55
Schreiner College,1,584,70,19,521,84,8955,5900,56,11.8,23,8545,52
Scripps College,1,855,73,60,569,98,17238,7350,100,8.2,41,18372,73
Seattle Pacific University,1,1183,85,42,1922,73,12669,4875,85,16.8,20,10368,66
Seattle University,1,2115,72,28,2993,89,12825,4375,85,12.2,16,10175,89
Seton Hall University,1,4576,77,16,4384,74,12000,6484,84,14.4,15,10080,64
Seton Hill College,1,936,84,24,752,78,11240,4180,71,11.2,37,10065,71
Shippensburg University of Penn.,0,5818,56,14,5268,94,7844,3504,83,18.8,13,6719,72
Shorter College,1,540,82,23,1115,90,7210,3600,65,13.2,18,7356,58
Siena College,1,2961,65,24,2669,81,10800,5100,82,14.1,42,8189,100
Siena Heights College,1,464,90,10,686,70,9240,3880,49,7.2,17,9431,47
Simmons College,1,1003,77,23,1144,87,16160,6950,81,8.9,33,14086,79
Simpson College,1,1016,85,27,1116,64,11250,4980,73,15.8,36,7411,70
Sioux Falls College,1,437,91,13,614,69,8990,3064,73,14.8,7,7881,48
Skidmore College,1,4293,63,25,2322,89,18710,5970,92,12.7,29,14837,81
Smith College,1,2925,54,51,2479,96,18820,6390,97,10.3,44,21199,90
South Dakota State University,0,2807,92,13,7000,86,3811,2190,65,15.0,29,5084,67
Southeast Missouri State University,0,2281,81,18,6553,84,4680,3540,76,17.1,8,5916,45
Southeastern Oklahoma State Univ.,0,818,85,20,2962,81,3738,2619,59,19.6,9,4444,53
Southern California College,1,385,88,18,784,86,9520,4124,65,18.6,11,8219,43
Southern Illinois University at Edwardsville,0,2540,86,13,6063,70,5472,3598,81,16.5,8,7498,43
Southern Methodist University,1,4301,80,41,4892,92,12772,5078,88,13.5,17,12726,72
Southwest Baptist University,1,1093,100,12,1770,64,7070,2500,54,15.9,13,4718,71
Southwest Missouri State University,0,6118,85,15,13131,79,4740,2590,75,19.9,11,4632,56
Southwest State University,0,1047,89,13,2091,79,4285,2750,75,16.5,31,6591,51
Southwestern Adventist College,1,321,99,11,620,68,7536,3736,77,13.0,12,5309,36
Southwestern College,1,213,72,28,504,77,7200,3532,56,11.8,12,7818,52
Southwestern University,1,1244,73,44,1177,96,11850,4675,89,11.3,35,12995,67
Spalding University,1,283,71,10,589,69,8400,2800,56,10.6,40,6860,89
Spelman College,1,3713,33,47,1971,94,7000,5565,80,12.5,18,9988,65
Spring Arbor College,1,372,97,15,1501,80,8600,3550,48,15.4,9,10938,49
St. Bonaventure University,1,1489,88,13,1688,92,10456,4927,91,17.7,32,9828,78
St. John's College,1,323,86,31,393,98,16150,5450,72,7.2,26,15622,64
St. John Fisher College,1,1368,77,19,1687,71,10570,5600,81,14.5,29,7908,66
St. Lawrence University,1,2753,66,31,1801,97,18720,5730,94,11.5,38,14980,85
St. Martin's College,1,191,86,5,494,46,11550,4270,77,14.5,8,9209,40
St. Mary's College of California,1,2643,60,36,2615,91,13332,6354,89,16.1,17,9619,78
St. Mary's College of Maryland,0,1340,51,42,1315,86,6800,4730,89,11.6,23,10357,63
St. Mary's University of San Antonio,1,1243,82,33,2149,83,8678,3858,83,16.2,7,7651,72
St. Norbert College,1,1334,93,30,1946,95,12140,4450,78,15.1,36,8595,88
St. Paul's College,1,651,89,8,617,94,5000,3650,45,14.0,8,8426,45
St. Thomas Aquinas College,1,861,70,10,1117,57,8650,5700,73,16.1,13,6534,67
Stephens College,1,450,90,17,614,61,13900,5200,63,10.9,17,9995,59
Stetson University,1,1557,78,37,1964,96,12315,4565,90,12.5,24,10307,73
Stevens Institute of Technology,1,1768,70,51,1263,99,16900,5680,89,19.0,33,12837,79
Stockton College of New Jersey,0,4019,39,23,4365,85,3040,4351,92,19.5,7,5599,64
Stonehill College,1,3646,63,25,2022,68,12170,6172,79,13.0,30,7495,97
SUNY at Albany,0,13528,67,16,10168,89,6550,4355,96,17.4,16,9075,74
SUNY at Binghamton,0,14463,42,60,8544,92,6550,4598,100,18.0,15,8055,80
SUNY at Buffalo,0,15039,64,36,13963,81,6550,4731,97,13.6,15,11177,56
SUNY at Stony Brook,0,12512,55,27,9744,87,6550,4712,96,10.5,7,13705,57
SUNY College  at Brockport,0,7294,48,7,5758,80,6550,4460,83,19.0,14,6632,49
SUNY College  at Oswego,0,8000,56,17,6943,88,6550,4810,85,22.0,21,5280,63
SUNY College at Buffalo,0,5318,66,8,7626,78,6550,4040,78,18.7,12,7511,42
SUNY College at Cortland,0,7888,44,6,5011,93,6550,4680,85,17.8,17,5563,53
SUNY College at Fredonia,0,4877,57,13,4123,93,6550,4420,90,16.3,10,6442,66
SUNY College at Geneseo,0,8598,53,56,5060,97,6550,4170,84,19.1,25,5716,76
SUNY College at New Paltz,0,8399,42,19,4658,75,6550,4240,93,15.3,8,6608,53
SUNY College at Plattsburgh,0,5549,64,9,5004,91,6550,4176,90,17.9,16,6174,65
SUNY College at Potsdam,0,3150,72,16,3598,93,6840,4660,75,15.1,17,6436,59
SUNY College at Purchase,0,2119,59,5,2478,63,6550,4760,100,14.9,8,8170,46
Susquehanna University,1,2096,72,27,1442,89,16130,4710,86,13.9,37,10554,90
Sweet Briar College,1,462,87,36,527,92,14500,6000,99,6.5,48,18953,61
Syracuse University,1,10477,69,28,10142,98,15150,6870,84,11.3,13,14231,67
Tabor College,1,257,71,19,396,91,7850,3410,70,10.0,15,7233,53
Talladega College,1,4414,33,30,908,88,5666,2964,58,15.5,7,5970,46
Taylor University,1,1769,61,41,1757,95,10965,4000,61,14.2,32,8294,98
Tennessee Wesleyan College,1,232,78,7,402,62,7070,3640,65,8.9,16,6286,36
Texas A&M Univ. at College Station,0,14474,72,49,31643,91,5130,3412,91,23.1,29,8471,69
Texas A&M University at Galveston,0,529,90,22,1206,90,4860,3122,88,17.4,16,6415,43
Texas Christian University,1,4095,75,33,5064,88,8490,3320,93,14.8,23,9158,64
Texas Lutheran College,1,497,85,27,895,67,7850,3410,58,13.8,24,7002,50
Texas Southern University,0,4345,74,15,5584,64,7860,3360,75,18.2,21,3605,10
Texas Wesleyan University,1,592,84,19,1204,75,6400,3484,83,14.5,10,7936,43
The Citadel,0,1500,82,12,2024,87,7070,2439,94,17.1,17,7744,84
Thiel College,1,1154,82,15,791,84,11172,4958,76,11.6,16,9186,60
Tiffin University,1,845,86,5,662,65,7600,3800,74,19.0,40,5096,39
Transylvania University,1,759,96,57,867,94,10900,4450,91,12.1,41,10219,70
Trenton State College,0,5042,45,55,5167,85,5391,5411,87,14.4,6,8504,81
Tri-State University,1,1262,87,14,978,90,9456,4350,53,12.8,24,7603,65
Trinity College CT,1,3058,58,46,1737,87,18810,5690,96,10.4,48,18034,91
Trinity College DC,1,247,76,19,309,32,11412,6430,93,8.3,37,11806,96
Trinity College VT,1,222,83,16,484,47,11010,5208,78,10.4,26,9586,78
Trinity University,1,2425,74,62,2110,95,12240,5150,96,9.6,20,14703,93
Tulane University,1,7033,72,47,4941,76,19040,5950,98,9.1,21,16920,74
Tusculum College,1,626,59,12,983,96,7700,3400,70,21.9,28,4933,52
Tuskegee University,1,2267,80,20,2825,95,6735,3395,74,12.2,7,10872,65
Union College KY,1,484,79,9,634,89,7800,2950,88,14.1,9,6864,64
Union College NY,1,3495,48,49,1915,93,18732,6204,96,11.5,49,15411,88
Univ. of Wisconsin at OshKosh,0,4800,60,14,7764,84,6874,2394,78,19.2,14,5901,56
University of Alabama at Birmingham,0,1797,70,24,6960,59,4440,5175,96,6.7,16,16352,33
University of Arkansas at Fayetteville,0,3235,96,25,9978,86,5028,3300,89,14.8,10,6820,39
University of California at Berkeley,0,19873,41,95,19532,90,11648,6246,97,15.8,10,13919,78
University of California at Irvine,0,15698,68,85,12677,93,12024,5302,96,16.1,11,15934,66
University of Central Florida,0,6986,42,25,12330,63,6618,4234,98,22.2,9,6742,46
University of Charleston,1,682,78,22,771,55,9500,3540,58,2.5,10,7683,57
University of Chicago,1,6348,47,68,3340,98,18930,6380,99,5.3,36,36854,90
University of Cincinnati,0,6855,81,26,11036,84,8907,4697,95,10.8,6,13889,54
University of Connecticut at Storrs,0,9735,73,23,12478,88,11656,5072,95,16.0,16,10178,71
University of Dallas,1,681,86,44,1058,93,10760,6230,93,13.4,26,8731,63
University of Dayton,1,6361,83,26,5889,89,11380,4220,85,14.8,25,8894,93
University of Delaware,1,14446,72,22,14130,75,10220,4230,87,18.3,15,10650,75
University of Denver,1,2974,67,29,2666,82,15192,4695,91,15.9,21,11762,67
University of Detroit Mercy,1,927,78,24,2149,49,11130,3996,79,13.5,14,10891,51
University of Dubuque,1,576,96,11,662,83,10430,3620,98,16.5,18,8767,45
University of Evansville,1,2096,77,35,2551,86,11800,4340,81,15.8,26,7780,77
University of Florida,0,12445,71,54,24470,88,7090,4180,97,13.4,20,14737,66
University of Georgia,0,11220,70,43,19553,87,5697,3600,95,14.7,22,7881,63
University of Hartford,1,5081,79,11,3768,72,14220,6000,76,10.7,9,10625,66
University of Hawaii at Manoa,0,3580,72,36,11028,82,4460,3038,87,11.8,6,12833,54
University of Illinois - Urbana,0,14939,77,52,25422,96,7560,4574,90,17.4,13,8559,81
University of Illinois at Chicago,0,8384,68,22,13518,82,7230,5088,84,10.0,6,13883,34
University of Indianapolis,1,1487,85,26,1417,46,11120,4080,56,11.1,23,6735,69
University of Kansas,0,8579,64,25,17880,91,6994,3384,94,13.7,17,9657,57
University of La Verne,1,1597,60,16,1431,48,13540,5050,68,14.1,23,10139,47
University of Louisville,0,4777,63,16,9844,61,6540,3600,92,11.1,24,10207,31
University of Maine at Farmington,0,1208,66,20,1906,84,6810,3970,75,15.9,26,5712,59
University of Maine at Machias,0,441,83,17,633,66,6600,3680,46,15.1,4,5935,64
University of Maine at Presque Isle,0,461,82,10,974,65,6600,3630,67,15.2,11,6408,35
University of Maryland at Baltimore County,0,4269,60,27,6476,71,8594,4408,88,18.4,6,7618,55
University of Maryland at College Park,0,14292,72,22,19340,82,8723,5146,92,18.1,12,9021,63
University of Massachusetts at Amherst,0,14438,85,12,16282,89,8566,3897,92,16.7,15,10276,68
University of Massachusetts at Dartmouth,0,3347,77,10,4664,74,6919,4500,90,15.0,20,7462,56
University of Miami,1,7122,75,42,7760,89,16500,6526,94,5.9,17,17500,59
University of Michigan at Ann Arbor,0,19152,67,66,22045,94,15732,4659,98,11.5,26,14847,87
University of Minnesota at Duluth,0,4192,74,15,5887,82,8828,3474,91,19.0,11,6393,53
University of Minnesota at Morris,0,1458,59,56,1846,92,9843,3180,78,14.6,16,6716,51
University of Minnesota Twin Cities,0,11054,57,26,16502,43,8949,3744,90,12.2,37,16122,45
University of Mississippi,0,3844,88,26,7524,90,4916,3810,86,20.3,14,6971,53
University of Missouri at Columbia,0,6574,70,32,14782,90,9057,3485,87,12.7,15,10145,58
University of Missouri at Rolla,0,1877,97,49,3926,87,9057,3600,88,14.4,23,9699,49
University of Missouri at Saint Louis,0,1618,70,18,4793,51,7246,3964,73,13.4,15,6433,48
University of Mobile,1,452,73,17,1417,82,6150,3680,63,16.6,4,5412,52
University of Montevallo,0,1351,66,18,2385,87,4440,3030,72,18.9,8,5883,51
University of Nebraska at Lincoln,0,6277,95,33,16454,83,5595,3145,92,15.1,48,6813,53
University of New England,1,1209,62,19,820,83,11450,5045,75,11.4,13,9718,64
University of New Hampshire,0,9750,78,24,10358,88,11180,3862,87,17.5,16,7855,75
University of North Carolina at Asheville,0,1757,55,32,2033,65,5972,3420,83,13.0,11,7011,37
University of North Carolina at Chapel Hill,0,14596,41,75,14609,92,8400,4200,93,8.9,23,15893,83
University of North Carolina at Charlotte,0,5803,76,19,10099,75,7248,3109,91,16.8,7,6227,62
University of North Carolina at Greensboro,0,5191,79,15,7532,80,8677,3505,94,15.5,17,7392,53
University of North Carolina at Wilmington,0,6071,63,15,6635,85,7558,3680,85,19.1,15,6005,55
University of North Dakota,0,2777,80,20,8334,85,5634,2703,97,15.9,16,9424,49
University of North Florida,0,1800,69,44,3876,51,6634,4360,85,17.8,14,6104,47
University of North Texas,0,4418,61,23,14047,73,4104,3579,94,22.6,6,5657,35
University of Northern Colorado,0,5530,72,12,8463,84,7731,4128,75,21.5,8,6309,40
University of Northern Iowa,0,4144,81,18,10135,87,6197,2930,82,16.3,26,6333,77
University of Notre Dame,1,7700,48,79,7671,99,16850,4400,92,13.1,46,13936,97
University of Oklahoma,0,4743,83,32,13436,83,5173,3526,90,11.5,11,10244,44
University of Oregon,0,8631,77,25,11669,87,10602,3660,87,19.7,13,8020,54
University of Pennsylvania,1,12394,42,85,9205,94,17020,7270,96,6.3,38,25765,93
University of Pittsburgh-Main Campus,0,8586,74,25,13138,75,10786,4560,93,7.8,10,13789,66
University of Portland,1,1758,84,27,2041,92,12040,4100,96,13.2,17,9060,72
University of Puget Sound,1,4044,69,51,2738,95,16230,4500,86,15.0,17,11217,63
University of Rhode Island,0,9643,80,12,8894,78,10330,5558,89,16.6,7,9158,63
University of Richmond,1,5892,46,46,2854,82,14500,3285,89,11.7,32,11984,100
University of Rochester,1,8766,62,56,5071,92,17840,6582,99,5.9,23,26037,80
University of San Diego,1,3934,69,40,3698,94,13600,5940,96,15.6,13,10813,66
University of San Francisco,1,2306,74,23,4309,88,13226,6452,86,13.6,8,10074,62
University of Sci. and Arts of Oklahoma,0,285,98,21,1140,70,3687,1920,77,23.6,3,3864,43
University of Scranton,1,4471,65,29,3674,88,11584,5986,83,14.1,41,9131,92
University of South Carolina at Aiken,0,848,66,14,1855,56,5800,3066,62,14.8,3,5035,48
University of South Carolina at Columbia,0,7693,75,30,12594,77,8074,3522,88,16.9,18,8246,63
University of South Florida,0,7589,61,29,14770,57,6760,3776,89,17.0,7,11020,47
University of Southern California,1,12229,69,45,13259,90,17230,6482,94,11.4,10,17007,68
University of Southern Colorado,0,1401,88,10,3716,84,7100,4380,88,19.4,0,5389,36
